,object_id,class,object_path
780,chair_0899,chair,chair/test/chair_0899.off
781,chair_0900,chair,chair/test/chair_0900.off
782,chair_0901,chair,chair/test/chair_0901.off
783,chair_0902,chair,chair/test/chair_0902.off
784,chair_0903,chair,chair/test/chair_0903.off
785,chair_0904,chair,chair/test/chair_0904.off
1760,desk_0201,desk,desk/test/desk_0201.off
1761,desk_0202,desk,desk/test/desk_0202.off
1762,desk_0203,desk,desk/test/desk_0203.off
1763,desk_0204,desk,desk/test/desk_0204.off
1764,desk_0205,desk,desk/test/desk_0205.off
1765,desk_0206,desk,desk/test/desk_0206.off
1766,desk_0207,desk,desk/test/desk_0207.off
1767,desk_0208,desk,desk/test/desk_0208.off
1768,desk_0209,desk,desk/test/desk_0209.off
1769,desk_0210,desk,desk/test/desk_0210.off
1770,desk_0211,desk,desk/test/desk_0211.off
1771,desk_0212,desk,desk/test/desk_0212.off
1772,desk_0213,desk,desk/test/desk_0213.off
1773,desk_0214,desk,desk/test/desk_0214.off
1774,desk_0215,desk,desk/test/desk_0215.off
2046,dresser_0201,dresser,dresser/test/dresser_0201.off
2047,dresser_0202,dresser,dresser/test/dresser_0202.off
2048,dresser_0203,dresser,dresser/test/dresser_0203.off
2049,dresser_0204,dresser,dresser/test/dresser_0204.off
2050,dresser_0205,dresser,dresser/test/dresser_0205.off
2051,dresser_0206,dresser,dresser/test/dresser_0206.off
2052,dresser_0207,dresser,dresser/test/dresser_0207.off
2053,dresser_0208,dresser,dresser/test/dresser_0208.off
2054,dresser_0209,dresser,dresser/test/dresser_0209.off
2055,dresser_0210,dresser,dresser/test/dresser_0210.off
2056,dresser_0211,dresser,dresser/test/dresser_0211.off
2057,dresser_0212,dresser,dresser/test/dresser_0212.off
2058,dresser_0213,dresser,dresser/test/dresser_0213.off
2059,dresser_0214,dresser,dresser/test/dresser_0214.off
2060,dresser_0215,dresser,dresser/test/dresser_0215.off
2332,monitor_0466,monitor,monitor/test/monitor_0466.off
2333,monitor_0467,monitor,monitor/test/monitor_0467.off
2334,monitor_0468,monitor,monitor/test/monitor_0468.off
2335,monitor_0469,monitor,monitor/test/monitor_0469.off
2336,monitor_0470,monitor,monitor/test/monitor_0470.off
2337,monitor_0471,monitor,monitor/test/monitor_0471.off
2338,monitor_0472,monitor,monitor/test/monitor_0472.off
2339,monitor_0473,monitor,monitor/test/monitor_0473.off
2340,monitor_0474,monitor,monitor/test/monitor_0474.off
2341,monitor_0475,monitor,monitor/test/monitor_0475.off
2342,monitor_0476,monitor,monitor/test/monitor_0476.off
2343,monitor_0477,monitor,monitor/test/monitor_0477.off
2344,monitor_0478,monitor,monitor/test/monitor_0478.off
2345,monitor_0479,monitor,monitor/test/monitor_0479.off
2346,monitor_0480,monitor,monitor/test/monitor_0480.off
2897,night_stand_0201,night,night/test/night_stand_0201.off
2898,night_stand_0202,night,night/test/night_stand_0202.off
2899,night_stand_0203,night,night/test/night_stand_0203.off
2900,night_stand_0204,night,night/test/night_stand_0204.off
2901,night_stand_0205,night,night/test/night_stand_0205.off
2902,night_stand_0206,night,night/test/night_stand_0206.off
2903,night_stand_0207,night,night/test/night_stand_0207.off
2904,night_stand_0208,night,night/test/night_stand_0208.off
2905,night_stand_0209,night,night/test/night_stand_0209.off
2906,night_stand_0210,night,night/test/night_stand_0210.off
2907,night_stand_0211,night,night/test/night_stand_0211.off
2908,night_stand_0212,night,night/test/night_stand_0212.off
2909,night_stand_0213,night,night/test/night_stand_0213.off
2910,night_stand_0214,night,night/test/night_stand_0214.off
2911,night_stand_0215,night,night/test/night_stand_0215.off
3183,sofa_0681,sofa,sofa/test/sofa_0681.off
3184,sofa_0682,sofa,sofa/test/sofa_0682.off
3185,sofa_0683,sofa,sofa/test/sofa_0683.off
3186,sofa_0684,sofa,sofa/test/sofa_0684.off
3187,sofa_0685,sofa,sofa/test/sofa_0685.off
3188,sofa_0686,sofa,sofa/test/sofa_0686.off
3189,sofa_0687,sofa,sofa/test/sofa_0687.off
3190,sofa_0688,sofa,sofa/test/sofa_0688.off
3191,sofa_0689,sofa,sofa/test/sofa_0689.off
3192,sofa_0690,sofa,sofa/test/sofa_0690.off
3193,sofa_0691,sofa,sofa/test/sofa_0691.off
3194,sofa_0692,sofa,sofa/test/sofa_0692.off
3195,sofa_0693,sofa,sofa/test/sofa_0693.off
3196,sofa_0694,sofa,sofa/test/sofa_0694.off
3197,sofa_0695,sofa,sofa/test/sofa_0695.off
3963,table_0393,table,table/test/table_0393.off
3964,table_0394,table,table/test/table_0394.off
3965,table_0395,table,table/test/table_0395.off
3966,table_0396,table,table/test/table_0396.off
3967,table_0397,table,table/test/table_0397.off
3968,table_0398,table,table/test/table_0398.off
3969,table_0399,table,table/test/table_0399.off
3970,table_0400,table,table/test/table_0400.off
3971,table_0401,table,table/test/table_0401.off
3972,table_0402,table,table/test/table_0402.off
3973,table_0403,table,table/test/table_0403.off
3974,table_0404,table,table/test/table_0404.off
3975,table_0405,table,table/test/table_0405.off
3976,table_0406,table,table/test/table_0406.off
3977,table_0407,table,table/test/table_0407.off
4455,,.DS,.DS/toilet/.off
4456,,.DS,.DS/test/.off
4457,toilet_0345,toilet,toilet/test/toilet_0345.off
4458,toilet_0346,toilet,toilet/test/toilet_0346.off
4459,toilet_0347,toilet,toilet/test/toilet_0347.off
4460,toilet_0348,toilet,toilet/test/toilet_0348.off
4461,toilet_0349,toilet,toilet/test/toilet_0349.off
4462,toilet_0350,toilet,toilet/test/toilet_0350.off
4463,toilet_0351,toilet,toilet/test/toilet_0351.off
4464,toilet_0352,toilet,toilet/test/toilet_0352.off
4465,toilet_0353,toilet,toilet/test/toilet_0353.off
4466,toilet_0354,toilet,toilet/test/toilet_0354.off
4467,toilet_0355,toilet,toilet/test/toilet_0355.off
4468,toilet_0356,toilet,toilet/test/toilet_0356.off
4469,toilet_0357,toilet,toilet/test/toilet_0357.off
4470,toilet_0358,toilet,toilet/test/toilet_0358.off
4471,toilet_0359,toilet,toilet/test/toilet_0359.off
